Asset,Price_ETH,DEX_Price_ETH,Timestamp
BTC,,,2025-08-01 12:17:56
ETH,,,2025-08-01 12:17:56
TWT,,,2025-08-01 12:17:56
APT,,,2025-08-01 12:17:56
SUI,,,2025-08-01 12:17:56
DYDX,,,2025-08-01 12:17:56
1INCH,,,2025-08-01 12:17:56
OP,,,2025-08-01 12:17:56
ARB,,,2025-08-01 12:17:56
C98,,,2025-08-01 12:17:56
BNB,,,2025-08-01 12:17:56
MNT,,,2025-08-01 12:17:56
ICP,,,2025-08-01 12:17:56
APE,,,2025-08-01 12:17:56
AMB,,,2025-08-01 12:17:56
HARRY,,,2025-08-01 12:17:56
XCH,,,2025-08-01 12:17:56
MAS,,,2025-08-01 12:17:56
LINA,,,2025-08-01 12:17:56
LDO,,,2025-08-01 12:17:56
SEI,,,2025-08-01 12:17:56
LEDOG,,,2025-08-01 12:17:56
5IRE,,,2025-08-01 12:17:56
STRK,,,2025-08-01 12:17:56
SQR,,,2025-08-01 12:17:56
AEVO,,,2025-08-01 12:17:56
OLAS,,,2025-08-01 12:17:56
BTC,,,2025-08-01 12:19:56
ETH,,,2025-08-01 12:19:56
TWT,,,2025-08-01 12:19:56
APT,,,2025-08-01 12:19:56
SUI,,,2025-08-01 12:19:56
DYDX,,,2025-08-01 12:19:56
1INCH,,,2025-08-01 12:19:56
OP,,,2025-08-01 12:19:56
ARB,,,2025-08-01 12:19:56
C98,,,2025-08-01 12:19:56
BNB,,,2025-08-01 12:19:56
MNT,,,2025-08-01 12:19:56
ICP,,,2025-08-01 12:19:56
APE,,,2025-08-01 12:19:56
AMB,,,2025-08-01 12:19:56
HARRY,,,2025-08-01 12:19:56
XCH,,,2025-08-01 12:19:56
MAS,,,2025-08-01 12:19:56
LINA,,,2025-08-01 12:19:56
LDO,,,2025-08-01 12:19:56
SEI,,,2025-08-01 12:19:56
LEDOG,,,2025-08-01 12:19:56
5IRE,,,2025-08-01 12:19:56
STRK,,,2025-08-01 12:19:56
SQR,,,2025-08-01 12:19:56
AEVO,,,2025-08-01 12:19:56
OLAS,,,2025-08-01 12:19:56
BTC,,,2025-08-01 12:21:56
ETH,,,2025-08-01 12:21:56
TWT,,,2025-08-01 12:21:56
APT,,,2025-08-01 12:21:56
SUI,,,2025-08-01 12:21:56
DYDX,,,2025-08-01 12:21:56
1INCH,,,2025-08-01 12:21:56
OP,,,2025-08-01 12:21:56
ARB,,,2025-08-01 12:21:56
C98,,,2025-08-01 12:21:56
BNB,,,2025-08-01 12:21:56
MNT,,,2025-08-01 12:21:56
ICP,,,2025-08-01 12:21:56
APE,,,2025-08-01 12:21:56
AMB,,,2025-08-01 12:21:56
HARRY,,,2025-08-01 12:21:56
XCH,,,2025-08-01 12:21:56
MAS,,,2025-08-01 12:21:56
LINA,,,2025-08-01 12:21:56
LDO,,,2025-08-01 12:21:56
SEI,,,2025-08-01 12:21:56
LEDOG,,,2025-08-01 12:21:56
5IRE,,,2025-08-01 12:21:56
STRK,,,2025-08-01 12:21:56
SQR,,,2025-08-01 12:21:56
AEVO,,,2025-08-01 12:21:56
OLAS,,,2025-08-01 12:21:56
